,Unnamed: 0,STATION,YEAR,MONTH,DATE,PRCP,TMAX,TMIN,LONGITUDE,LATITUDE,ELEVATION,RANGE_HIGH,RANGE_LOW,RANGE_OVERALL,RANGE_MID,SST
0,0,GHCND:US1SCBK0016,2011,1,2011-01-31,-0.8267327120936128,,,-80.135,33.0347,24.1,,,,,19.617999649047853
1,1,GHCND:US1SCBK0016,2011,2,2011-02-28,-0.16188477924094347,,,-80.135,33.0347,24.1,,,,,18.39599952697754
2,2,GHCND:US1SCBK0016,2011,3,2011-03-31,0.25678012740904377,,,-80.135,33.0347,24.1,,,,,18.425999450683594
3,3,GHCND:US1SCBK0016,2011,4,2011-04-30,-0.57966228726145,,,-80.135,33.0347,24.1,,,,,20.003999710083008
4,4,GHCND:US1SCBK0016,2011,5,2011-05-31,-1.1326908642010476,,,-80.135,33.0347,24.1,,,,,22.88799934387207
5,5,GHCND:US1SCBK0016,2011,6,2011-06-30,-0.1139812117242105,,,-80.135,33.0347,24.1,,,,,26.767998886108398
6,6,GHCND:US1SCBK0016,2011,7,2011-07-31,-0.22567469531379514,,,-80.135,33.0347,24.1,,,,,28.013999557495122
7,7,GHCND:US1SCBK0016,2011,8,2011-08-31,1.4594773718335357,,,-80.135,33.0347,24.1,,,,,28.73199958801269
8,8,GHCND:US1SCBK0016,2011,9,2011-09-30,-0.7591875348164516,,,-80.135,33.0347,24.1,,,,,27.96799926757813
9,9,GHCND:US1SCBK0016,2011,10,2011-10-31,-0.8827451201459579,,,-80.135,33.0347,24.1,,,,,25.09999923706055
10,10,GHCND:US1SCBK0016,2011,11,2011-11-30,-0.6597165432063606,,,-80.135,33.0347,24.1,,,,,21.3299991607666
11,11,GHCND:US1SCBK0016,2011,12,2011-12-31,-1.0384261956831975,,,-80.135,33.0347,24.1,,,,,20.733999633789058
12,12,GHCND:US1SCBK0016,2012,1,2012-01-31,-1.0167327120936127,,,-80.135,33.0347,24.1,,,,,19.179999542236327
13,13,GHCND:US1SCBK0016,2012,2,2012-02-29,0.09811522075905654,,,-80.135,33.0347,24.1,,,,,19.013999557495122
14,14,GHCND:US1SCBK0016,2012,3,2012-03-31,1.9367801274090437,,,-80.135,33.0347,24.1,,,,,20.293999862670894
